Caso de uso,Nombre,Descripción
CU001,Registrar Usuario,Permite a un nuevo usuario crear una cuenta en el sistema proporcionando email y contraseña
CU002,Iniciar Sesión,Permite a un usuario autenticarse en el sistema con email y contraseña
CU003,Obtener Perfil de Usuario,Permite consultar la información del perfil de un usuario específico
CU004,Actualizar Perfil de Usuario,Permite a un usuario modificar su información personal y foto de perfil
CU005,Buscar Usuarios por Nombre,Permite buscar usuarios por coincidencias parciales en el nombre de usuario
CU006,Seguir Usuario,Permite a un usuario seguir a otro usuario para ver sus actividades
CU007,Dejar de Seguir Usuario,Permite a un usuario dejar de seguir a otro usuario
CU008,Obtener Seguidores,Permite consultar la lista de usuarios que siguen a un usuario específico
CU009,Obtener Seguidos,Permite consultar la lista de usuarios que sigue un usuario específico
CU010,Buscar Usuarios por Libros,Permite encontrar usuarios que tienen libros específicos disponibles para intercambio
CU011,Agregar Libro a Biblioteca,Permite a un usuario agregar un libro a su biblioteca personal
CU012,Obtener Biblioteca de Usuario,Permite consultar los libros en la biblioteca de un usuario con filtros opcionales
CU013,Obtener Libros para Intercambio,Permite consultar todos los libros disponibles para intercambio en el sistema
CU014,Actualizar Estado de Libro,Permite cambiar el estado de lectura de un libro en la biblioteca del usuario
CU015,Actualizar Preferencia de Intercambio,Permite marcar o desmarcar un libro como disponible para intercambio
CU016,Marcar/Desmarcar Libro Favorito,Permite agregar o quitar un libro de la lista de favoritos del usuario
CU017,Buscar Libros,Permite buscar libros por título autor o categorías en el catálogo
CU018,Obtener Libro por ISBN,Permite consultar información detallada de un libro usando su código ISBN
CU019,Crear Comunidad,Permite a un usuario crear una nueva comunidad literaria
CU020,Obtener Todas las Comunidades,Permite consultar la lista completa de comunidades disponibles
CU021,Obtener Comunidad por ID,Permite consultar información detallada de una comunidad específica
CU022,Obtener Comunidades de Usuario,Permite consultar las comunidades donde un usuario es miembro
CU023,Unirse a Comunidad,Permite a un usuario unirse como miembro de una comunidad existente
CU024,Abandonar Comunidad,Permite a un usuario salir de una comunidad de la cual es miembro
CU025,Buscar Comunidades,Permite buscar comunidades por nombre o descripción
CU026,Eliminar Comunidad,Permite al administrador eliminar una comunidad y todas sus relaciones
CU027,Crear Club de Lectura,Permite crear un nuevo club de lectura dentro de una comunidad
CU028,Obtener Todos los Clubes de Lectura,Permite consultar la lista completa de clubes de lectura disponibles
CU029,Obtener Club de Lectura por ID,Permite consultar información detallada de un club de lectura específico
CU030,Obtener Clubes por Usuario,Permite consultar los clubes de lectura donde un usuario es miembro
CU031,Obtener Clubes por Comunidad,Permite consultar todos los clubes de lectura de una comunidad específica
CU032,Unirse a Club de Lectura,Permite a un usuario unirse como miembro de un club de lectura
CU033,Abandonar Club de Lectura,Permite a un usuario salir de un club de lectura del cual es miembro
CU034,Eliminar Club de Lectura,Permite al moderador eliminar un club de lectura específico
CU035,Buscar Clubes de Lectura,Permite buscar clubes de lectura por nombre o descripción
CU036,Crear Publicación,Permite a un usuario crear una nueva publicación con texto e imagen opcional
CU037,Obtener Publicación por ID,Permite consultar una publicación específica por su identificador
CU038,Obtener Publicaciones con Filtros,Permite consultar publicaciones con filtros por tipo usuario o comunidad
CU039,Actualizar Publicación,Permite al autor modificar el contenido de una publicación existente
CU040,Eliminar Publicación,Permite al autor eliminar una publicación existente
CU041,Crear Comentario,Permite a un usuario agregar un comentario a una publicación específica
CU042,Obtener Comentarios por Publicación,Permite consultar todos los comentarios de una publicación específica
CU043,Obtener Comentario por ID,Permite consultar un comentario específico por su identificador
CU044,Obtener Comentarios por Usuario,Permite consultar todos los comentarios realizados por un usuario
CU045,Eliminar Comentario,Permite al autor eliminar un comentario específico
CU046,Crear Intercambio de Libros,Permite crear una nueva solicitud de intercambio entre dos usuarios
CU047,Obtener Intercambios de Usuario,Permite consultar todos los intercambios donde un usuario participa
CU048,Obtener Intercambios como Solicitante,Permite consultar intercambios donde el usuario es el solicitante
CU049,Obtener Intercambios como Propietario,Permite consultar intercambios donde el usuario es el propietario de los libros
CU050,Obtener Intercambio por ID,Permite consultar información detallada de un intercambio específico
CU051,Actualizar Estado de Intercambio,Permite cambiar el estado de un intercambio (aceptar rechazar completar cancelar)
CU052,Crear Contraoferta,Permite crear una contraoferta para un intercambio existente
CU053,Crear Calificación de Intercambio,Permite calificar a otro usuario después de completar un intercambio
CU054,Obtener Calificaciones de Usuario,Permite consultar todas las calificaciones recibidas por un usuario
CU055,Obtener Calificaciones de Intercambio,Permite consultar las calificaciones de un intercambio específico
CU056,Obtener Estadísticas de Calificaciones,Permite consultar el promedio y total de calificaciones de un usuario
CU057,Obtener Chats de Usuario,Permite consultar todos los chats donde un usuario participa
CU058,Obtener Chat por ID,Permite consultar un chat específico si el usuario es participante
CU059,Obtener Mensajes de Chat,Permite consultar todos los mensajes de un chat específico
CU060,Enviar Mensaje,Permite enviar un nuevo mensaje a un chat específico
CU061,Marcar Mensajes como Leídos,Permite marcar todos los mensajes de un chat como leídos
CU062,Obtener Perfil de Gamificación,Permite consultar el perfil de gamificación de un usuario (puntos nivel logros)
CU063,Obtener Logros de Usuario,Permite consultar los logros obtenidos por un usuario específico
CU064,Obtener Logros No Notificados,Permite consultar los logros recientes no notificados de un usuario
CU065,Marcar Logros como Notificados,Permite marcar logros específicos como ya notificados al usuario
CU066,Verificar y Otorgar Logros,Permite verificar y otorgar logros pendientes a un usuario
